Image Name,Description
image1.jpeg,Major Respiratory Structures The major respiratory structures span the nasal cavity to the diaphragm.
image2.jpeg,Nose This illustration shows features of the external nose (top) and skeletal features of the nose(bottom).
image3.jpeg,Upper Airway Several bones that help form the walls of the nasal cavity have air-containing spaces called the paranasal sinuses
image4.jpeg,---------------
image5.jpeg,Pseudostratified Ciliated Columnar Epithelium Respiratory epithelium is pseudostratified ciliated columnar epithelium Seromucous glands provide lubricating mucus LM  680.
image6.jpeg,Divisions of the Pharynx The pharynx is divided into three regions the nasopharynx the oropharynx and the laryngopharynx.
image7.jpeg,Larynx The larynx extends from the laryngopharynx and the hyoid bone to the trachea.
image8.jpeg,Vocal Cords The true vocal cords and vestibular folds of the larynx are viewed inferiorly from the laryngopharynx.
image9.jpeg,Trachea (a) The tracheal tube is formed by stacked C-shaped pieces of hyaline cartilage.
image10.jpeg,Respiratory Zone Bronchioles lead to alveolar sacs in the respiratory zone where gas exchange occurs.
image11.jpeg,Structures of the Respiratory Zone (a) The alveolus is responsible for gas exchange. (b) A micrograph shows the alveolar structures within lung tissue.
image12.jpeg,Normal and Bronchial Asthma Tissues (a) Normal lung tissue does not have the characteristics of lung tissue during (b) an asthma attack which include thickened mucosa increased mucus-producing goblet cells and eosinophil infiltrates.
image13.jpeg,---------------------
image14.jpeg,Gross Anatomy of the Lungs Each lung is composed of smaller units called lobes.
image15.jpeg,Parietal and Visceral Pleurae of the Lungs The pleurae perform two major functions
image16.jpeg,Boyle's Law In a gas pressure increases as volume decreases.
image17.jpeg,Intrapulmonary and Intrapleural Pressure Relationships Alveolar pressure changes during the different phases of the cycle. It equalizes at 760 mm Hg but does not remain at 760 mm Hg.
image18.jpeg,Inspiration and Expiration Inspiration and expiration occur due to the expansion and contraction of the thoracic cavity respectively.
image19.jpeg,Respiratory Volumes and Capacities These two graphs show (a) respiratory volumes and (b) the combination of volumes that results in respiratory capacity.
image20.jpx,-----------------
image21.jpeg,---------------
image22.jpeg,Respiratory Centers of the Brain The medulla oblongata contains the dorsal respiratory group (DRG) and the ventral respiratory group (VRG)
image23.jpeg,Partial and Total Pressures of a Gas Partial pressure is the force exerted by a gas. The sum of the partial pressures of all the gases in a mixture equals the total pressure.
image24.jpeg,External Respiration In external respiration oxygen diffuses across the respiratory membrane from the alveolus to the capillary whereas carbon dioxide diffuses out of the capillary into the alveolus.
image25.jpeg,Internal Respiration Oxygen diffuses out of the capillary and into cells whereas carbon dioxide diffuses out of cells and into the capillary.
image26.jpeg,Hyperbaric Chamber Hyperbaric chamber treatment is based on the behavior of gases
image27.jpeg,Erythrocyte and Hemoglobin Hemoglobin consists of four subunits each of which contains one molecule of iron.
image28.jpeg,Oxygen-Hemoglobin Dissociation and Effects of pH and Temperature These three graphs show (a) the relationship between the partial pressure of oxygen and hemoglobin saturation
image29.jpeg,Oxygen-Hemoglobin Dissociation and Effects of pH and Temperature These three graphs show (b) the effect of pH on the oxygen hemoglobin dissociation curve
image30.jpeg,Oxygen-Hemoglobin Dissociation and Effects of pH and Temperature These three graphs show the effect of temperature on the oxygen hemoglobin dissociation curve.
image31.jpeg, Oxygen-Hemoglobin Dissociation Curves in Fetus and Adult Fetal hemoglobin has a greater affinity for oxygen than does adult hemoglobin.
image32.jpeg,Carbon Dioxide Transport Carbon dioxide is transported by three different methods (a) in erythrocytes (b) after forming carbonic acid (H2CO3 ) which is dissolved in plasma (c) and in plasma.
image33.jpeg,---------
image34.jpeg,Development of the Lower Respiratory System
image35.jpeg,Components of the Digestive System All digestive organs play integral roles in the life-sustaining process of digestion.
image36.jpeg,Layers of the Alimentary Canal The wall of the alimentary canal has four basic tissue layers: the mucosa submucosa muscularis and serosa.
image37.jpeg,The Peritoneum A cross-section of the abdomen shows the relationship between abdominal organs and the peritoneum (darker lines).
image38.jpeg,--------------
